100559ms
t Pt t 总场 目标 海面 耦合 
6.0625 1.4649761e-134 179.68238 1.7462808e-09 1.7462808e-09 0 0
6.09375 5.8521964e-136 179.71363 1.0834157e-09 1.0834157e-09 0 0
6.125 -5.2031263e-138 179.74488 -1.9919493e-10 -1.9919493e-10 0 0
6.15625 -1.9154972e-139 179.77613 -9.1540469e-11 -9.1540469e-11 0 0
6.1875 1.6724209e-141 179.80738 1.9755781e-11 1.9755781e-11 0 0
6.21875 5.6814364e-143 179.83863 6.9320341e-12 6.9320341e-12 0 0
6.25 -4.8654309e-145 179.86988 -1.7248626e-12 -1.7248626e-12 0 0
6.28125 -1.5270487e-146 179.90113 -4.6996041e-13 -4.6996041e-13 0 0
6.3125 1.2812498e-148 179.93238 1.3356875e-13 1.3356875e-13 0 0
6.34375 3.7193722e-150 179.96363 2.8476924e-14 2.8476924e-14 0 0
6.375 -3.0543677e-152 179.99488 -9.2183761e-15 -9.2183761e-15 0 0
6.40625 -8.2094146e-154 180.02613 -1.5384531e-15 -1.5384531e-15 0 0
6.4375 6.592018e-156 180.05738 5.6892288e-16 5.6892288e-16 0 0
6.46875 1.6420416e-157 180.08863 7.3829301e-17 7.3829301e-17 0 0
6.5 -1.2881203e-159 180.11988 -3.1473343e-17 -3.1473343e-17 0 0
6.53125 -2.9763842e-161 180.15113 -3.1292694e-18 -3.1292694e-18 0 0
6.5625 2.2791039e-163 180.18238 1.5634935e-18 1.5634935e-18 0 0
6.59375 4.8891126e-165 180.21363 1.1605747e-19 1.1605747e-19 0 0
6.625 -3.6514692e-167 180.24488 -6.9839854e-20 -6.9839854e-20 0 0
6.65625 -7.2779738e-169 180.27613 -3.7044225e-21 -3.7044225e-21 0 0
6.6875 5.2977444e-171 180.30738 2.8081829e-21 2.8081829e-21 0 0
6.71875 9.8182349e-173 180.33863 9.8394985e-23 9.8394985e-23 0 0
6.75 -6.9607542e-175 180.36988 -1.0172523e-22 -1.0172523e-22 0 0
6.78125 -1.2003331e-176 180.40113 -1.994708e-24 -1.994708e-24 0 0
6.8125 8.2829279e-179 180.43238 3.3220722e-24 3.3220722e-24 0 0
6.84375 1.3298984e-180 180.46363 2.0885462e-26 2.0885462e-26 0 0
6.875 -8.9267336e-183 180.49488 -9.7860729e-26 -9.7860729e-26 0 0
6.90625 -1.3353226e-184 180.52613 5.1747707e-28 5.1747707e-28 0 0
6.9375 8.7136437e-187 180.55738 2.601517e-27 2.601517e-27 0 0
6.96875 1.2150876e-188 180.58863 -4.0064551e-29 -4.0064551e-29 0 0
7 -7.7040967e-191 180.61988 -6.2435304e-29 -6.2435304e-29 0 0
7.03125 -1.0020404e-192 180.65113 1.5158882e-30 1.5158882e-30 0 0
7.0625 6.1698328e-195 180.68238 1.3531898e-30 1.3531898e-30 0 0
7.09375 7.4889605e-197 180.71363 -4.3451506e-32 -4.3451506e-32 0 0
7.125 -4.4757809e-199 180.74488 -2.6492912e-32 -2.6492912e-32 0 0
7.15625 -5.0724635e-201 180.77613 1.0344623e-33 1.0344623e-33 0 0
7.1875 2.9411765e-203 180.80738 4.6862583e-34 4.6862583e-34 0 0
7.21875 3.1137209e-205 180.83863 -2.1054001e-35 -2.1054001e-35 0 0
7.25 -1.7508237e-207 180.86988 -6.299144e-36 -6.299144e-36 0 0
7.28125 -1.7322318e-209 180.90113 -9.4950839e-36 -9.4950839e-36 0 0
